SourceFile,CreateDate
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Tennessee Valley/Original Media/2014-05-25 17_20_38 (id).mov,2014:05:26 02:51:28
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Tennessee Valley Beach/Transcoded Media/High Quality Media/2014-05-25 17_35_36 (id).mov,2014:05:26 02:53:00
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Tennessee Valley Beach/Shared Items/f6FogobYQ76RoVxSnS88ZA/2014-05-25 17:35:36 (1920 x 1080).m4v,2014:05:26 04:38:28
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Tennessee Valley Beach/Original Media/2014-05-25 17_35_36 (id).mov,2014:05:26 02:51:55
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Lake Lagunitas/Original Media/2014-05-26 14_08_05 (id).mov,2014:05:27 02:58:11
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Lake Lagunitas/Original Media/2014-05-26 14_06_59 (id).mov,2014:05:27 02:58:04
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Lake Lagunitas/Original Media/2014-05-26 14_31_59 (id).mov,2014:05:27 02:59:57
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Lake Lagunitas/Original Media/2014-05-26 16_13_51 (id).mov,2014:05:27 02:59:58
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Lake Lagunitas/Original Media/2014-05-26 14_23_00 (id).mov,2014:05:27 02:59:39
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Lake Lagunitas/Original Media/2014-05-26 14_23_49 (id).mov,2014:05:27 02:59:54
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Lake Lagunitas/Original Media/2014-05-26 14_05_57 (id).mov,2014:05:27 02:57:57
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Birds/Transcoded Media/High Quality Media/2014-05-24 07_45_53 (id).mov,2014:05:26 02:50:41
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Birds/Original Media/2014-05-24 07_45_53 (id).mov,2014:05:26 02:50:38
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0239.mov,2014:11:04 02:52:12
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0238.mov,2014:11:04 02:49:04
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0217.mov,2014:11:04 02:47:54
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0228.mov,2014:11:04 02:45:18
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0229.mov,2014:11:04 02:47:59
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0218.mov,2014:11:04 02:50:39
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0230.mov,2014:11:04 02:45:21
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0224.mov,2014:11:04 02:37:35
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0225.mov,2014:11:04 02:46:31
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0231.mov,2014:11:04 02:48:19
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0219.mov,2014:11:04 02:41:33
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0227.mov,2014:11:04 02:51:54
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0233.mov,2014:11:04 02:43:50
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0232.mov,2014:11:04 02:51:39
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0226.mov,2014:11:04 02:48:46
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0222.mov,2014:11:04 02:47:13
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0236.mov,2014:11:04 02:41:47
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0237.mov,2014:11:04 02:46:43
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0223.mov,2014:11:04 02:49:10
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0235.mov,2014:11:04 02:50:16
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0221.mov,2014:11:04 02:42:37
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0220.mov,2014:11:04 02:51:35
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0234.mov,2014:11:04 02:48:06
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Transcoded Media/High Quality Media/HDV_0240.mov,2014:11:04 02:50:56
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0239.mp4,2014:11:02 04:50:06
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0238.mp4,2014:11:02 04:48:29
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0228.mp4,2014:11:02 04:07:30
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0229.mp4,2014:11:02 04:07:45
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0217.mp4,2014:11:02 03:21:13
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0240.mp4,2014:11:02 04:51:15
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0233.mp4,2014:11:02 04:20:35
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0227.mp4,2014:11:02 04:06:26
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0226.mp4,2014:11:02 04:05:22
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0232.mp4,2014:11:02 04:19:42
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0224.mp4,2014:11:02 03:43:52
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0230.mp4,2014:11:02 04:10:15
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0218.mp4,2014:11:02 03:27:24
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0219.mp4,2014:11:02 03:28:22
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0231.mp4,2014:11:02 04:17:55
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0225.mp4,2014:11:02 04:01:23
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0221.mp4,2014:11:02 03:36:09
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0235.mp4,2014:11:02 04:27:27
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0234.mp4,2014:11:02 04:23:58
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0220.mp4,2014:11:02 03:32:33
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0236.mp4,2014:11:02 04:34:03
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0222.mp4,2014:11:02 03:38:10
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0223.mp4,2014:11:02 03:41:00
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/11-02-14/Original Media/HDV_0237.mp4,2014:11:02 04:46:34
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0198.mov,2014:10:20 00:03:01
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0167.mov,2014:10:20 00:01:57
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0173.mov,2014:10:19 23:59:53
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0172.mov,2014:10:20 00:06:43
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0166.mov,2014:10:19 23:58:36
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0158.mov,2014:10:20 00:06:01
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0170.mov,2014:10:20 00:04:32
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0164.mov,2014:10:20 00:05:23
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0165.mov,2014:10:20 00:06:19
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0171.mov,2014:10:20 00:05:36
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0159.mov,2014:10:19 23:57:58
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0175.mov,2014:10:20 00:04:14
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0161.mov,2014:10:19 23:59:10
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0149.mov,2014:10:20 00:02:29
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0148.mov,2014:10:19 23:59:59
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0160.mov,2014:10:20 00:06:25
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0174.mov,2014:10:20 00:02:25
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0189.mov,2014:10:19 23:57:49
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0162.mov,2014:10:20 00:02:03
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0176.mov,2014:10:20 00:05:32
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0177.mov,2014:10:20 00:06:36
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0163.mov,2014:10:20 00:04:05
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0188.mov,2014:10:20 00:05:54
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0185.mov,2014:10:20 00:00:19
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0191.mov,2014:10:19 23:59:19
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0152.mov,2014:10:20 00:04:45
