SourceFile,CreateDate
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0151.mp4,2014:10:19 02:11:51
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0179.mp4,2014:10:19 03:06:05
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0186.mp4,2014:10:19 03:12:57
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0192.mp4,2014:10:19 03:19:45
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0193.mp4,2014:10:19 03:24:27
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0187.mp4,2014:10:19 03:13:48
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0178.mp4,2014:10:19 03:05:10
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0150.mp4,2014:10:19 02:10:56
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0152.mp4,2014:10:19 02:13:18
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0191.mp4,2014:10:19 03:18:57
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0185.mp4,2014:10:19 03:12:12
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0184.mp4,2014:10:19 03:11:33
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0190.mp4,2014:10:19 03:16:33
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0153.mp4,2014:10:19 02:15:07
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0157.mp4,2014:10:19 02:18:28
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0194.mp4,2014:10:19 03:26:49
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0180.mp4,2014:10:19 03:07:10
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0181.mp4,2014:10:19 03:07:48
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0195.mp4,2014:10:19 03:27:13
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0156.mp4,2014:10:19 02:16:59
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0168.mp4,2014:10:19 02:36:39
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0154.mp4,2014:10:19 02:15:44
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0183.mp4,2014:10:19 03:10:06
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0197.mp4,2014:10:19 03:30:34
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0196.mp4,2014:10:19 03:29:47
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0182.mp4,2014:10:19 03:08:58
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0155.mp4,2014:10:19 02:16:21
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0169.mp4,2014:10:19 02:37:43
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0013.mov,2014:10:06 01:41:02
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0007.mov,2014:10:06 01:49:23
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0006.mov,2014:10:06 01:47:32
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0012.mov,2014:10:06 01:49:17
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0010.mov,2014:10:06 01:43:40
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0011.mov,2014:10:06 01:46:57
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0005.mov,2014:10:06 01:43:58
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0015.mov,2014:10:06 01:48:10
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0028.mov,2014:10:06 01:51:59
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0014.mov,2014:10:06 01:45:46
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0016.mov,2014:10:06 01:51:23
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0017.mov,2014:10:06 01:44:15
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0026.mov,2014:10:06 01:46:38
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0027.mov,2014:10:06 01:49:09
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0019.mov,2014:10:06 01:50:02
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0025.mov,2014:10:06 01:43:13
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0024.mov,2014:10:06 01:50:23
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0018.mov,2014:10:06 01:47:41
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0020.mov,2014:10:06 01:48:25
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0008.mov,2014:10:06 01:42:10
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0009.mov,2014:10:06 01:46:22
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0021.mov,2014:10:06 01:51:46
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0023.mov,2014:10:06 01:47:52
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Transcoded Media/High Quality Media/HDV_0022.mov,2014:10:06 01:44:27
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0010.mp4,2014:10:05 15:34:47
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0005.mp4,2014:10:05 15:07:23
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0011.mp4,2014:10:05 15:38:35
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0007.mp4,2014:10:05 15:15:02
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0013.mp4,2014:10:05 16:08:00
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0012.mp4,2014:10:05 15:40:56
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0006.mp4,2014:10:05 15:08:22
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0016.mp4,2014:10:05 16:22:48
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0017.mp4,2014:10:05 16:25:52
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0015.mp4,2014:10:05 16:20:59
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0014.mp4,2014:10:05 16:10:42
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0028.mp4,2014:10:05 16:49:38
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0025.mp4,2014:10:05 16:46:32
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0019.mp4,2014:10:05 16:27:49
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0018.mp4,2014:10:05 16:26:26
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0024.mp4,2014:10:05 16:42:32
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0026.mp4,2014:10:05 16:47:41
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0027.mp4,2014:10:05 16:48:52
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0023.mp4,2014:10:05 16:38:57
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0022.mp4,2014:10:05 16:36:20
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0008.mp4,2014:10:05 15:22:21
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0020.mp4,2014:10:05 16:30:07
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0021.mp4,2014:10:05 16:33:03
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-5-14/Original Media/HDV_0009.mp4,2014:10:05 15:25:05
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Transcoded Media/High Quality Media/HDV_0211.mov,2014:10:27 00:58:47
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Transcoded Media/High Quality Media/HDV_0205.mov,2014:10:27 00:54:28
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Transcoded Media/High Quality Media/HDV_0204.mov,2014:10:27 00:56:59
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Transcoded Media/High Quality Media/HDV_0210.mov,2014:10:27 00:55:02
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Transcoded Media/High Quality Media/HDV_0199.mov,2014:10:27 00:54:35
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Transcoded Media/High Quality Media/HDV_0206.mov,2014:10:27 00:58:14
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Transcoded Media/High Quality Media/HDV_0212.mov,2014:10:27 00:57:49
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Transcoded Media/High Quality Media/HDV_0213.mov,2014:10:27 00:56:36
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Transcoded Media/High Quality Media/HDV_0207.mov,2014:10:27 00:57:14
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Transcoded Media/High Quality Media/HDV_0203.mov,2014:10:27 00:57:55
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Transcoded Media/High Quality Media/HDV_0216.mov,2014:10:27 00:57:12
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Transcoded Media/High Quality Media/HDV_0202.mov,2014:10:27 01:00:37
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Transcoded Media/High Quality Media/HDV_0214.mov,2014:10:27 00:54:15
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Transcoded Media/High Quality Media/HDV_0200.mov,2014:10:27 00:57:42
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Transcoded Media/High Quality Media/HDV_0201.mov,2014:10:27 00:56:18
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Transcoded Media/High Quality Media/HDV_0215.mov,2014:10:27 00:58:02
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Transcoded Media/High Quality Media/HDV_0209.mov,2014:10:27 00:58:22
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Transcoded Media/High Quality Media/HDV_0208.mov,2014:10:27 00:54:43
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Original Media/HDV_0212.mp4,2014:10:26 03:28:09
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Original Media/HDV_0206.mp4,2014:10:26 02:33:02
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Original Media/HDV_0207.mp4,2014:10:26 02:50:50
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Original Media/HDV_0213.mp4,2014:10:26 03:28:44
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Original Media/HDV_0205.mp4,2014:10:26 02:32:11
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Original Media/HDV_0211.mp4,2014:10:26 03:07:40
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Original Media/HDV_0199.mp4,2014:10:26 02:17:00
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Original Media/HDV_0210.mp4,2014:10:26 03:05:57
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Original Media/HDV_0204.mp4,2014:10:26 02:31:21
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Original Media/HDV_0200.mp4,2014:10:26 02:20:59
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Original Media/HDV_0214.mp4,2014:10:26 03:29:40
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Original Media/HDV_0215.mp4,2014:10:26 03:31:15
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Original Media/HDV_0201.mp4,2014:10:26 02:26:06
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Original Media/HDV_0203.mp4,2014:10:26 02:30:46
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Original Media/HDV_0202.mp4,2014:10:26 02:29:05
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Original Media/HDV_0216.mp4,2014:10:26 03:32:27
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Original Media/HDV_0209.mp4,2014:10:26 02:55:16
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-26-14/Original Media/HDV_0208.mp4,2014:10:26 02:54:12
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #5.mov,2014:10:13 06:05:29
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #4.mov,2014:10:13 06:04:24
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #6.mov,2014:10:13 06:06:13
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #7.mov,2014:10:13 06:06:25
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #3.mov,2014:10:13 06:03:54
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #2.mov,2014:10:13 06:03:41
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #1.mov,2014:10:13 06:03:31
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #34.mov,2014:10:13 06:14:56
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #20.mov,2014:10:13 06:10:18
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #21.mov,2014:10:13 06:10:27
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #35.mov,2014:10:13 06:15:01
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #23.mov,2014:10:13 06:11:04
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #36.mov,2014:10:13 06:15:18
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #22.mov,2014:10:13 06:10:37
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #26.mov,2014:10:13 06:11:54
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #32.mov,2014:10:13 06:14:29
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #33.mov,2014:10:13 06:14:39
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #27.mov,2014:10:13 06:12:50
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #31.mov,2014:10:13 06:14:19
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #25.mov,2014:10:13 06:11:40
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #19.mov,2014:10:13 06:10:09
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #18.mov,2014:10:13 06:09:41
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #24.mov,2014:10:13 06:11:30
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #30.mov,2014:10:13 06:13:57
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #29.mov,2014:10:13 06:13:46
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #15.mov,2014:10:13 06:08:32
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #14.mov,2014:10:13 06:08:27
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #28.mov,2014:10:13 06:13:26
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #16.mov,2014:10:13 06:09:12
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #17.mov,2014:10:13 06:09:25
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #13.mov,2014:10:13 06:08:05
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #12.mov,2014:10:13 06:07:59
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #10.mov,2014:10:13 06:07:36
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #11.mov,2014:10:13 06:07:45
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #9.mov,2014:10:13 06:07:22
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Transcoded Media/High Quality Media/Clip #8.mov,2014:10:13 06:07:08
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #5.mov,2014:10:13 06:03:43
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #4.mov,2014:10:13 06:03:37
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #6.mov,2014:10:13 06:03:50
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #7.mov,2014:10:13 06:03:53
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #3.mov,2014:10:13 06:03:33
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #2.mov,2014:10:13 06:03:31
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #1.mov,2014:10:13 06:03:30
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #34.mov,2014:10:13 06:06:47
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #20.mov,2014:10:13 06:04:43
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #21.mov,2014:10:13 06:04:49
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #35.mov,2014:10:13 06:06:49
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #23.mov,2014:10:13 06:05:14
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #36.mov,2014:10:13 06:06:52
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #22.mov,2014:10:13 06:04:56
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #26.mov,2014:10:13 06:05:50
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #32.mov,2014:10:13 06:06:40
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #33.mov,2014:10:13 06:06:43
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #27.mov,2014:10:13 06:06:16
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #31.mov,2014:10:13 06:06:38
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #25.mov,2014:10:13 06:05:43
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #19.mov,2014:10:13 06:04:37
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #18.mov,2014:10:13 06:04:30
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #24.mov,2014:10:13 06:05:35
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #30.mov,2014:10:13 06:06:33
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #29.mov,2014:10:13 06:06:29
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #15.mov,2014:10:13 06:04:16
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #14.mov,2014:10:13 06:04:14
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #28.mov,2014:10:13 06:06:25
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #16.mov,2014:10:13 06:04:25
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #17.mov,2014:10:13 06:04:27
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #13.mov,2014:10:13 06:04:10
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #12.mov,2014:10:13 06:04:09
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #10.mov,2014:10:13 06:04:05
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #11.mov,2014:10:13 06:04:06
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-12-14/Original Media/Clip #9.mov,2014:10:13 06:04:00
