SourceFile,CreateDate,GPSLatitude,GPSLongitude
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0119.MOV,2010:10:03 16:02:53,37.7957,-122.3942
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0333.MOV,2010:11:27 01:19:23,37.795,-122.3952
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0047.MOV,2010:09:05 22:26:35,38.0617,-122.2265
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0123 2.MOV,2010:10:03 19:24:27,37.7948,-122.3929
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMGP1165 2.MOV,2008:04:09 16:01:11,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0552.MOV,2010:12:27 00:24:25,37.7953,-122.3953
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0156.MOV,2010:10:10 18:09:46,37.8671,-122.3011
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0157.MOV,2010:10:10 19:42:15,38.5826,-121.5064
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0553.MOV,2010:12:27 00:24:43,37.7951,-122.3953
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0023.MOV,2010:09:03 16:15:09,37.8005,-122.3981
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMGP1164.MOV,2008:04:09 15:56:31,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0557.MOV,2010:12:27 20:46:35,38.1192,-122.9507
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMGP1164 2.MOV,2008:04:09 15:56:31,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMGP1165.MOV,2008:04:09 16:01:11,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0024.MOV,2010:09:03 16:15:12,37.8005,-122.3981
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0554.MOV,2010:12:27 00:45:15,37.7951,-122.3948
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMGP1166 2.MOV,2008:04:09 16:09:50,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0435.MOV,2010:12:11 01:10:47,37.8016,-122.401
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMGP1166.MOV,2008:04:09 16:09:50,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0198.MOV,2010:10:27 02:01:59,37.7947,-122.3934
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0367.MOV,2010:11:29 00:19:51,37.7874,-122.4088
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0366.MOV,2010:11:28 23:27:10,37.7876,-122.4082
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0063.MOV,2010:09:12 22:02:58,37.8908,-122.2887
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0062.MOV,2010:09:12 21:00:45,37.891,-122.2874
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0307.MOV,2010:11:24 02:15:13,37.8964,-122.5155
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0138.MOV,2010:10:06 19:29:12,37.803,-122.4015
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2/IMG_0064.MOV,2010:09:12 22:03:36,37.8908,-122.2887
