SourceFile,DateCreated,DateTimeCreated,DateTimeOriginal,GPSAltitude,GPSAltitudeRef,GPSCoordinates,GPSCoordinates-und-US,GPSDateStamp,GPSDateTime,GPSDestBearing,GPSDestBearingRef,GPSHPositioningError,GPSImgDirection,GPSImgDirectionRef,GPSLatitude,GPSLatitudeRef,GPSLongitude,GPSLongitudeRef,GPSPosition,GPSProcessingMethod,GPSSpeed,GPSSpeedRef,GPSTimeStamp
/Users/eddiedickey/Flickr/2018/38917883374_788fcd95be_o.jpg,,,2018:01:01 13:48:41,249.8 m Above Sea Level,Above Sea Level,,,2018:01:01,2018:01:01 21:48:41Z,15.43475321,True North,5 m,15.43475321,True North,"34 deg 9' 36.16"" N",North,"118 deg 10' 2.85"" W",West,"34 deg 9' 36.16"" N, 118 deg 10' 2.85"" W",,0.16,km/h,21:48:41
/Users/eddiedickey/Flickr/2018/24757787007_c80a745a32_o.jpg,,,2018:01:01 12:53:12,258.4 m Above Sea Level,Above Sea Level,,,2018:01:01,2018:01:01 20:53:11Z,333.4817518,True North,5 m,333.4817518,True North,"34 deg 9' 54.02"" N",North,"118 deg 10' 6.36"" W",West,"34 deg 9' 54.02"" N, 118 deg 10' 6.36"" W",,0.16,km/h,20:53:11
/Users/eddiedickey/Flickr/2018/39625945381_7424d30352_o.jpg,,,2018:01:01 14:41:31,251.9 m Above Sea Level,Above Sea Level,,,2018:01:01,2018:01:01 22:41:29.99Z,122.5140187,True North,42.48638132 m,122.5140187,True North,"34 deg 9' 42.36"" N",North,"118 deg 10' 6.56"" W",West,"34 deg 9' 42.36"" N, 118 deg 10' 6.56"" W",,0,km/h,22:41:29.99
/Users/eddiedickey/Flickr/2018/26448951847_13c8315145_o.jpg,,,2018:03:31 17:35:39,43 m Below Sea Level,Below Sea Level,,,2018:04:01,2018:04:01 00:35:39.02Z,295.3998716,True North,30 m,295.3998716,True North,"37 deg 48' 20.18"" N",North,"122 deg 27' 56.46"" W",West,"37 deg 48' 20.18"" N, 122 deg 27' 56.46"" W",,0.65,km/h,00:35:39.02
/Users/eddiedickey/Flickr/2018/video_43464842812.mov,,,,4.47 m,Above Sea Level,"37 deg 54' 56.16"" N, 122 deg 30' 29.52"" W, 4.47 m Above Sea Level",,,,,,,,,"37 deg 54' 56.16"" N",,"122 deg 30' 29.52"" W",,"37 deg 54' 56.16"" N, 122 deg 30' 29.52"" W",,,,
/Users/eddiedickey/Flickr/2018/27848694429_11b54b3427_o.jpg,,,2018:01:01 14:40:15,250 m Above Sea Level,Above Sea Level,,,2018:01:01,2018:01:01 22:40:15Z,173.502439,True North,10 m,173.502439,True North,"34 deg 9' 42.19"" N",North,"118 deg 10' 6.03"" W",West,"34 deg 9' 42.19"" N, 118 deg 10' 6.03"" W",,0,km/h,22:40:15
/Users/eddiedickey/Flickr/2018/24757803547_b2a8fc6a14_o.jpg,,,2018:01:01 11:16:23,245.5 m Above Sea Level,Above Sea Level,,,2018:01:01,2018:01:01 19:16:23Z,13.09863281,True North,5 m,13.09863281,True North,"34 deg 9' 23.38"" N",North,"118 deg 10' 2.13"" W",West,"34 deg 9' 23.38"" N, 118 deg 10' 2.13"" W",,0.42,km/h,19:16:23
/Users/eddiedickey/Flickr/2018/video_43512317461.mov,,,,48.729 m,Above Sea Level,"38 deg 1' 4.80"" N, 122 deg 34' 21.00"" W, 48.729 m Above Sea Level",,,,,,,,,"38 deg 1' 4.80"" N",,"122 deg 34' 21.00"" W",,"38 deg 1' 4.80"" N, 122 deg 34' 21.00"" W",,,,
/Users/eddiedickey/Flickr/2018/39596564592_2837657ede_o.jpg,,,2018:01:01 12:51:53,260 m Above Sea Level,Above Sea Level,,,2018:01:01,2018:01:01 20:51:51.5Z,,,165 m,,,"34 deg 9' 52.04"" N",North,"118 deg 10' 1.42"" W",West,"34 deg 9' 52.04"" N, 118 deg 10' 1.42"" W",,0,km/h,20:51:51.5
/Users/eddiedickey/Flickr/2018/27848683189_4212b39386_o.jpg,,,2018:01:01 16:41:31,249 m Above Sea Level,Above Sea Level,,,2018:01:02,2018:01:02 00:41:28.45Z,,,165 m,,,"34 deg 9' 40.72"" N",North,"118 deg 10' 6.17"" W",West,"34 deg 9' 40.72"" N, 118 deg 10' 6.17"" W",,0,km/h,00:41:28.45
/Users/eddiedickey/Flickr/2018/25754599058_08ce55b184_o.jpg,,,2018:01:01 14:41:30,251.9 m Above Sea Level,Above Sea Level,,,2018:01:01,2018:01:01 22:41:29.99Z,122.5140187,True North,42.48638132 m,122.5140187,True North,"34 deg 9' 42.36"" N",North,"118 deg 10' 6.56"" W",West,"34 deg 9' 42.36"" N, 118 deg 10' 6.56"" W",,0,km/h,22:41:29.99
/Users/eddiedickey/Flickr/2018/40606811894_0427512d77_o.jpg,,,2018:03:31 13:54:06,57.2 m Above Sea Level,Above Sea Level,,,2018:03:31,2018:03:31 20:54:01.2Z,,,1414 m,,,"37 deg 47' 21.61"" N",North,"122 deg 26' 22.88"" W",West,"37 deg 47' 21.61"" N, 122 deg 26' 22.88"" W",,0,km/h,20:54:01.2
/Users/eddiedickey/Flickr/2018/26448944057_6efdc39a79_o.jpg,,,2018:03:31 18:06:41,4.2 m Below Sea Level,Below Sea Level,,,2018:04:01,2018:04:01 01:06:36.31Z,37.41290323,True North,1734.805825 m,37.41290323,True North,"37 deg 48' 7.54"" N",North,"122 deg 27' 34.54"" W",West,"37 deg 48' 7.54"" N, 122 deg 27' 34.54"" W",,0,km/h,01:06:36.31
/Users/eddiedickey/Flickr/2018/video_29564001138.mov,,,,47.916 m,Above Sea Level,"38 deg 1' 4.80"" N, 122 deg 34' 20.64"" W, 47.916 m Above Sea Level",,,,,,,,,"38 deg 1' 4.80"" N",,"122 deg 34' 20.64"" W",,"38 deg 1' 4.80"" N, 122 deg 34' 20.64"" W",,,,
/Users/eddiedickey/Flickr/2018/24757802537_9b3e08c5da_o.jpg,,,2018:01:01 11:16:34,244.9 m Above Sea Level,Above Sea Level,,,2018:01:01,2018:01:01 19:16:34Z,13.59133965,True North,5 m,13.59133965,True North,"34 deg 9' 23.38"" N",North,"118 deg 10' 2.13"" W",West,"34 deg 9' 23.38"" N, 118 deg 10' 2.13"" W",,0.27,km/h,19:16:34
/Users/eddiedickey/Flickr/2018/41320378851_4cb785a43c_o.jpg,,,2018:03:31 17:40:07,6.8 m Below Sea Level,Below Sea Level,,,2018:04:01,2018:04:01 00:40:07Z,309.110883,True North,5 m,309.110883,True North,"37 deg 48' 18.80"" N",North,"122 deg 27' 47.89"" W",West,"37 deg 48' 18.80"" N, 122 deg 27' 47.89"" W",,0.53,km/h,00:40:07
/Users/eddiedickey/Flickr/2018/38729709655_6be6e121c4_o.jpg,,,2018:01:01 12:55:25,254.9 m Above Sea Level,Above Sea Level,,,2018:01:01,2018:01:01 20:55:25Z,,,10 m,,,"34 deg 9' 50.67"" N",North,"118 deg 10' 6.42"" W",West,"34 deg 9' 50.67"" N, 118 deg 10' 6.42"" W",,0.41,km/h,20:55:25
